id,question,answer,source,area_id,area,area_output
893,Who is at risk for Breast Cancer? ?,"Key Points
                    - Avoiding risk factors and increasing protective factors may help prevent cancer.    - The following are risk factors for breast cancer:         - Older age     - A personal history of breast cancer or benign (noncancer) breast disease     - Inherited risk of breast cancer     - Dense breasts     - Exposure of breast tissue to estrogen made in the body     - Taking hormone therapy for symptoms of menopause      - Radiation therapy to the breast or chest     - Obesity     - Drinking alcohol         - The following are protective factors for breast cancer:         - Less exposure of breast tissue to estrogen made by the body     - Taking estrogen-only hormone therapy after hysterectomy, selective estrogen receptor modulators, or aromatase inhibitors and inactivators             - Estrogen-only hormone therapy after hysterectomy       - Selective estrogen receptor modulators       - Aromatase inhibitors and inactivators           -  Risk-reducing mastectomy      - Ovarian ablation     - Getting enough exercise        - It is not clear whether the following affect the risk of breast cancer:         - Oral contraceptives     - Environment        - Studies have shown that some factors do not affect the risk of breast cancer.    - Cancer prevention clinical trials are used to study ways to prevent cancer.    - New ways to prevent breast cancer are being studied in clinical trials.
                
                
                    Avoiding risk factors and increasing protective factors may help prevent cancer.
                    Avoiding cancer risk factors may help prevent certain cancers. Risk factors include smoking, being overweight, and not getting enough exercise. Increasing protective factors such as quitting smoking and exercising may also help prevent some cancers. Talk to your doctor or other health care professional about how you might lower your risk of cancer.    NCI's Breast Cancer Risk Assessment Tool uses a woman's risk factors to estimate her risk for breast cancer during the next five years and up to age 90. This online tool is meant to be used by a health care provider. For more information on breast cancer risk, call 1-800-4-CANCER.
                
                
                    The following are risk factors for breast cancer:
                    Older age    Older age is the main risk factor for most cancers. The chance of getting cancer increases as you get older.        A personal history of breast cancer or benign (noncancer) breast disease    Women with any of the following have an increased risk of breast cancer:            - A personal history of invasive breast cancer, ductal carcinoma in situ (DCIS), or lobular carcinoma in situ (LCIS).     - A personal history of benign (noncancer) breast disease.              Inherited risk of breast cancer    Women with a family history of breast cancer in a first-degree relative (mother, sister, or daughter) have an increased risk of breast cancer.    Women who have inherited changes in the  BRCA1  and  BRCA2  genes or in certain other genes have a higher risk of breast cancer. The risk of breast cancer caused by inherited gene changes depends on the type of gene mutation, family history of cancer, and other factors.        Dense breasts    Having breast tissue that is dense on a mammogram is a factor in breast cancer risk. The level of risk depends on how dense the breast tissue is. Women with very dense breasts have a higher risk of breast cancer than women with low breast density.    Increased breast density is often an inherited trait, but it may also occur in women who have not had children, have a first pregnancy late in life, take postmenopausal hormones, or drink alcohol.       Exposure of breast tissue to estrogen made in the body     Estrogen is a hormone made by the body. It helps the body develop and maintain female sex characteristics. Being exposed to estrogen over a long time may increase the risk of breast cancer. Estrogen levels are highest during the years a woman is menstruating.     A woman's exposure to estrogen is increased in the following ways:            -  Early menstruation: Beginning to have menstrual periods at age 11 or younger increases the number of years the breast tissue is exposed to estrogen.     -  Starting menopause at a later age: The more years a woman menstruates, the longer her breast tissue is exposed to estrogen.     -  Older age at first birth or never having given birth: Because estrogen levels are lower during pregnancy, breast tissue is exposed to more estrogen in women who become pregnant for the first time after age 35 or who never become pregnant.              Taking hormone therapy for symptoms of menopause     Hormones, such as estrogen and progesterone, can be made into a pill form in a laboratory. Estrogen, progestin, or both may be given to replace the estrogen no longer made by the ovaries in postmenopausal women or women who have had their ovaries removed. This is called hormone replacement therapy (HRT) or hormone therapy (HT). Combination HRT/HT is estrogen combined with progestin. This type of HRT/HT increases the risk of breast cancer. Studies show that when women stop taking estrogen combined with progestin, the risk of breast cancer decreases.       Radiation therapy to the breast or chest     Radiation therapy to the chest for the treatment of cancer increases the risk of breast cancer, starting 10 years after treatment. The risk of breast cancer depends on the dose of radiation and the age at which it is given. The risk is highest if radiation treatment was used during puberty, when breasts are forming.     Radiation therapy to treat cancer in one breast does not appear to increase the risk of cancer in the other breast.    For women who have inherited changes in the BRCA1 and BRCA2 genes, exposure to radiation, such as that from chest x-rays, may further increase the risk of breast cancer, especially in women who were x-rayed before 20 years of age.       Obesity     Obesity increases the risk of breast cancer, especially in postmenopausal women who have not used hormone replacement therapy.       Drinking alcohol     Drinking alcohol increases the risk of breast cancer. The level of risk rises as the amount of alcohol consumed rises.
                
                
                    The following are protective factors for breast cancer:
                    Less exposure of breast tissue to estrogen made by the body    Decreasing the length of time a woman's breast tissue is exposed to estrogen may help prevent breast cancer. Exposure to estrogen is reduced in the following ways:            -   Early pregnancy: Estrogen levels are lower during pregnancy. Women who have a full-term pregnancy before age 20 have a lower risk of breast cancer than women who have not had children or who give birth to their first child after age 35.     -  Breast-feeding: Estrogen levels may remain lower while a woman is breast-feeding. Women who breastfed have a lower risk of breast cancer than women who have had children but did not breastfeed.              Taking estrogen-only hormone therapy after hysterectomy, selective estrogen receptor modulators, or aromatase inhibitors and inactivators       Estrogen-only hormone therapy after hysterectomy     Hormone therapy with estrogen only may be given to women who have had a hysterectomy. In these women, estrogen-only therapy after menopause may decrease the risk of breast cancer. There is an increased risk of stroke and heart and blood vessel disease in postmenopausal women who take estrogen after a hysterectomy.          Selective estrogen receptor modulators      Tamoxifen and raloxifene belong to the family of drugs called selective estrogen receptor modulators (SERMs). SERMs act like estrogen on some tissues in the body, but block the effect of estrogen on other tissues.     Treatment with tamoxifen lowers the risk of estrogen receptor-positive (ER-positive) breast cancer and ductal carcinoma in situ in premenopausal and postmenopausal women at high risk. Treatment with raloxifene also lowers the risk of breast cancer in postmenopausal women. With either drug, the reduced risk lasts for several years or longer after treatment is stopped. Lower rates of broken bones have been noted in patients taking raloxifene.      Taking tamoxifen increases the risk of hot flashes, endometrial cancer, stroke, cataracts, and blood clots (especially in the lungs and legs). The risk of having these problems increases markedly in women older than 50 years compared with younger women. Women younger than 50 years who have a high risk of breast cancer may benefit the most from taking tamoxifen. The risk of having these problems decreases after tamoxifen is stopped. Talk with your doctor about the risks and benefits of taking this drug.      Taking raloxifene increases the risk of blood clots in the lungs and legs, but does not appear to increase the risk of endometrial cancer. In postmenopausal women with osteoporosis (decreased bone density), raloxifene lowers the risk of breast cancer for women who have a high or low risk of breast cancer. It is not known if raloxifene would have the same effect in women who do not have osteoporosis. Talk with your doctor about the risks and benefits of taking this drug.     Other SERMs are being studied in clinical trials.          Aromatase inhibitors and inactivators      Aromatase inhibitors (anastrozole, letrozole) and inactivators (exemestane) lower the risk of recurrence and of new breast cancers in women who have a history of breast cancer. Aromatase inhibitors also decrease the risk of breast cancer in women with the following conditions:                -  Postmenopausal women with a personal history of breast cancer.      -  Women with no personal history of breast cancer who are 60 years and older, have a history of ductal carcinoma in situ with mastectomy, or have a high risk of breast cancer based on the Gail model tool (a tool used to estimate the risk of breast cancer).               In women with an increased risk of breast cancer, taking aromatase inhibitors decreases the amount of estrogen made by the body. Before menopause, estrogen is made by the ovaries and other tissues in a woman's body, including the brain, fat tissue, and skin. After menopause, the ovaries stop making estrogen, but the other tissues do not. Aromatase inhibitors block the action of an enzyme called aromatase, which is used to make all of the body's estrogen. Aromatase inactivators stop the enzyme from working.     Possible harms from taking aromatase inhibitors include muscle and joint pain, osteoporosis, hot flashes, and feeling very tired.           Risk-reducing mastectomy     Some women who have a high risk of breast cancer may choose to have a risk-reducing mastectomy (the removal of both breasts when there are no signs of cancer). The risk of breast cancer is much lower in these women and most feel less anxious about their risk of breast cancer. However, it is very important to have a cancer risk assessment and counseling about the different ways to prevent breast cancer before making this decision.       Ovarian ablation    The ovaries make most of the estrogen that is made by the body. Treatments that stop or lower the amount of estrogen made by the ovaries include surgery to remove the ovaries, radiation therapy, or taking certain drugs. This is called ovarian ablation.    Premenopausal women who have a high risk of breast cancer due to certain changes in the BRCA1 and BRCA2 genes may choose to have a risk-reducing oophorectomy (the removal of both ovaries when there are no signs of cancer). This decreases the amount of estrogen made by the body and lowers the risk of breast cancer. Risk-reducing oophorectomy also lowers the risk of breast cancer in normal premenopausal women and in women with an increased risk of breast cancer due to radiation to the chest. However, it is very important to have a cancer risk assessment and counseling before making this decision. The sudden drop in estrogen levels may cause the symptoms of menopause to begin. These include hot flashes, trouble sleeping, anxiety, and depression. Long-term effects include decreased sex drive, vaginal dryness, and decreased bone density.        Getting enough exercise    Women who exercise four or more hours a week have a lower risk of breast cancer. The effect of exercise on breast cancer risk may be greatest in premenopausal women who have normal or low body weight.
                
                
                    It is not clear whether the following affect the risk of breast cancer:
                    Oral contraceptives    Certain oral contraceptives contain estrogen. Some studies have shown that taking oral contraceptives (""the pill"") may slightly increase the risk of breast cancer in current users. This risk decreases over time. Other studies have not shown an increased risk of breast cancer in women who take oral contraceptives.     Progestin -only contraceptives that are injected or implanted do not appear to increase the risk of breast cancer. More studies are needed to know whether progestin-only oral contraceptives increase the risk of breast cancer.       Environment    Studies have not proven that being exposed to certain substances in the environment, such as chemicals, increases the risk of breast cancer.
                
                
                    Studies have shown that some factors do not affect the risk of breast cancer.
                    The following do not affect the risk of breast cancer:            - Having an abortion.     - Making diet changes such as eating less fat or more fruits and vegetables.     - Taking vitamins, including fenretinide (a type of vitamin A).     -  Cigarette smoking, both active and passive (inhaling secondhand smoke).     -  Using underarm deodorant or antiperspirant.     - Taking statins (cholesterol -lowering drugs).     - Taking bisphosphonates (drugs used to treat osteoporosis and hypercalcemia) by mouth or by intravenous infusion.",CancerGov,1,Breast Cancer,
894,what research (or clinical trials) is being done for Breast Cancer ?,"Cancer prevention clinical trials are used to study ways to prevent cancer.
                    Cancer prevention clinical trials are used to study ways to lower the risk of developing certain types of cancer. Some cancer prevention trials are conducted with healthy people who have not had cancer but who have an increased risk for cancer. Other prevention trials are conducted with people who have had cancer and are trying to prevent another cancer of the same type or to lower their chance of developing a new type of cancer. Other trials are done with healthy volunteers who are not known to have any risk factors for cancer.   The purpose of some cancer prevention clinical trials is to find out whether actions people take can prevent cancer. These may include exercising more or quitting smoking or taking certain medicines, vitamins, minerals, or food supplements.
                
                
                    New ways to prevent breast cancer are being studied in clinical trials.",CancerGov,1,Breast Cancer,
1157,What is (are) Breast Cancer ?,"Key Points
                    - Breast cancer is a disease in which malignant (cancer) cells form in the tissues of the breast.    -  A family history of breast cancer and other factors increase the risk of breast cancer.    - Breast cancer is sometimes caused by inherited gene mutations (changes).     -  The use of certain medicines and other factors decrease the risk of breast cancer.    - Signs of breast cancer include a lump or change in the breast.    - Tests that examine the breasts are used to detect (find) and diagnose breast cancer.    - If cancer is found, tests are done to study the cancer cells.    - Certain factors affect prognosis (chance of recovery) and treatment options.
                
                
                    Breast cancer is a disease in which malignant (cancer) cells form in the tissues of the breast.
                    The breast is made up of lobes and ducts. Each breast has 15 to 20 sections called lobes. Each lobe has many smaller sections called lobules. Lobules end in dozens of tiny bulbs that can make milk. The lobes, lobules, and bulbs are linked by thin tubes called ducts.      Each breast also has blood vessels and lymph vessels. The lymph vessels carry an almost colorless fluid called lymph. Lymph vessels carry lymph between lymph nodes. Lymph nodes are small bean-shaped structures that are found throughout the body. They filter substances in lymph and help fight infection and disease. Clusters of lymph nodes are found near the breast in the axilla (under the arm), above the collarbone, and in the chest.   The most common type of breast cancer is ductal carcinoma, which begins in the cells of the ducts. Cancer that begins in the lobes or lobules is called lobular carcinoma and is more often found in both breasts than are other types of breast cancer. Inflammatory breast cancer is an uncommon type of breast cancer in which the breast is warm, red, and swollen.    See the following PDQ summaries for more information about breast cancer:         -  Breast Cancer Prevention     -  Breast Cancer Screening     -  Breast Cancer Treatment and Pregnancy     -  Male Breast Cancer Treatment     -  Unusual Cancers of Childhood Treatment (for information about breast cancer in childhood)",CancerGov,1,Breast Cancer,
1158,Who is at risk for Breast Cancer? ?,"A family history of breast cancer and other factors increase the risk of breast cancer.
                    Anything that increases your chance of getting a disease is called a risk factor. Having a risk factor does not mean that you will get cancer; not having risk factors doesn't mean that you will not get cancer. Talk to your doctor if you think you may be at risk for breast cancer.    Risk factors for breast cancer include the following:            - A personal history of invasive breast cancer, ductal carcinoma in situ (DCIS), or lobular carcinoma in situ (LCIS).     - A personal history of benign (noncancer) breast disease.     - A family history of breast cancer in a first-degree relative (mother, daughter, or sister).     - Inherited changes in the  BRCA1  or  BRCA2  genes or in other genes that increase the risk of breast cancer.     - Breast tissue that is dense on a mammogram.     -  Exposure of breast tissue to estrogen made by the body. This may be caused by:                  -  Menstruating at an early age.       -  Older age at first birth or never having given birth.       - Starting menopause at a later age.                - Taking hormones such as estrogen combined with progestin for symptoms of menopause.     - Treatment with radiation therapy to the breast/chest.     - Drinking alcohol.     -  Obesity.           Older age is the main risk factor for most cancers. The chance of getting cancer increases as you get older.      NCI's Breast Cancer Risk Assessment Tool uses a woman's risk factors to estimate her risk for breast cancer during the next five years and up to age 90. This online tool is meant to be used by a health care provider. For more information on breast cancer risk, call 1-800-4-CANCER.",CancerGov,1,Breast Cancer,
1159,How to prevent Breast Cancer ?,The use of certain medicines and other factors decrease the risk of breast cancer. Anything that decreases your chance of getting a disease is called a protective factor.    Protective factors for breast cancer include the following:            - Taking any of the following:                  -  Estrogen-only hormone therapy after a hysterectomy.       -  Selective estrogen receptor modulators (SERMs).        -  Aromatase inhibitors.                - Less exposure of breast tissue to estrogen made by the body. This can be a result of:                  - Early pregnancy.       - Breastfeeding.                - Getting enough exercise.     - Having any of the following procedures:                  -  Mastectomy to reduce the risk of cancer.       -  Oophorectomy to reduce the risk of cancer.       -  Ovarian ablation.,CancerGov,1,Breast Cancer,
1160,Is Breast Cancer inherited ?,"Breast cancer is sometimes caused by inherited gene mutations (changes). The genes in cells carry the hereditary information that is received from a persons parents. Hereditary breast cancer makes up about 5% to 10% of all breast cancer. Some mutated genes related to breast cancer are more common in certain ethnic groups.   Women who have certain gene mutations, such as a BRCA1 or BRCA2 mutation, have an increased risk of breast cancer. These women also have an increased risk of ovarian cancer, and may have an increased risk of other cancers. Men who have a mutated gene related to breast cancer also have an increased risk of breast cancer. For more information, see the PDQ summary on Male Breast Cancer Treatment.   There are tests that can detect (find) mutated genes. These genetic tests are sometimes done for members of families with a high risk of cancer. See the PDQ summary on Genetics of Breast and Gynecologic Cancers for more information.",CancerGov,1,Breast Cancer,
1161,What are the symptoms of Breast Cancer ?,"Signs of breast cancer include a lump or change in the breast. These and other signs may be caused by breast cancer or by other conditions. Check with your doctor if you have any of the following:         - A lump or thickening in or near the breast or in the underarm area.    - A change in the size or shape of the breast.    - A dimple or puckering in the skin of the breast.    - A nipple turned inward into the breast.    - Fluid, other than breast milk, from the nipple, especially if it's bloody.    - Scaly, red, or swollen skin on the breast, nipple, or areola (the dark area of skin around the nipple).    - Dimples in the breast that look like the skin of an orange, called peau dorange.",CancerGov,1,Breast Cancer,
1162,How to diagnose Breast Cancer ?,"Tests that examine the breasts are used to detect (find) and diagnose breast cancer.
                    Check with your doctor if you notice any changes in your breasts. The following tests and procedures may be used:         -   Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease, such as lumps or anything else that seems unusual. A history of the patients health habits and past illnesses and treatments will also be taken.     -   Clinical breast exam (CBE): An exam of the breast by a doctor or other health professional. The doctor will carefully feel the breasts and under the arms for lumps or anything else that seems unusual.    -  Mammogram: An x-ray of the breast.     -   Ultrasound exam: A procedure in which high-energy sound waves (ultrasound) are bounced off internal tissues or organs and make echoes. The echoes form a picture of body tissues called a sonogram. The picture can be printed to be looked at later.    -    MRI (magnetic resonance imaging): A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of both breasts. This procedure is also called nuclear magnetic resonance imaging (NMRI).    -   Blood chemistry studies : A procedure in which a blood sample is checked to measure the amounts of certain substances released into the blood by organs and tissues in the body. An unusual (higher or lower than normal) amount of a substance can be a sign of disease.     -   Biopsy : The removal of cells or tissues so they can be viewed under a microscope by a pathologist to check for signs of cancer. If a lump in the breast is found, a biopsy may be done.  There are four types of biopsy used to check for breast cancer:               -  Excisional biopsy : The removal of an entire lump of tissue.       -  Incisional biopsy : The removal of part of a lump or a sample of tissue.       -  Core biopsy : The removal of tissue using a wide needle.       -  Fine-needle aspiration (FNA) biopsy : The removal of tissue or fluid, using a thin needle.
                
                
                    If cancer is found, tests are done to study the cancer cells.
                    Decisions about the best treatment are based on the results of these tests. The tests give information about:         - how quickly the cancer may grow.    - how likely it is that the cancer will spread through the body.    - how well certain treatments might work.    - how likely the cancer is to recur (come back).        Tests include the following:         -   Estrogen and progesterone receptor test : A test to measure the amount of estrogen and progesterone (hormones) receptors in cancer tissue. If there are more estrogen and progesterone receptors than normal, the cancer is called estrogen and/or progesterone receptor positive. This type of breast cancer may grow more quickly. The test results show whether treatment to block estrogen and progesterone may stop the cancer from growing.    -   Human epidermal growth factor type 2 receptor (HER2/neu) test : A laboratory test to measure how many HER2/neu genes there are and how much HER2/neu protein is made in a sample of tissue. If there are more HER2/neu genes or higher levels of HER2/neu protein than normal, the cancer is called HER2/neu positive. This type of breast cancer may grow more quickly and is more likely to spread to other parts of the body. The cancer may be treated with drugs that target the HER2/neu protein, such as trastuzumab and pertuzumab.    -  Multigene tests: Tests in which samples of tissue are studied to look at the activity of many genes at the same time. These tests may help predict whether cancer will spread to other parts of the body or recur (come back). There are many types of multigene tests. The following multigene tests have been studied in clinical trials:               -  Oncotype DX : This test helps predict whether stage I or stage II breast cancer that is estrogen receptor positive and node negative will spread to other parts of the body. If the risk that the cancer will spread is high, chemotherapy may be given to lower the risk.      -  MammaPrint : This test helps predict whether stage I or stage II breast cancer that is node negative will spread to other parts of the body. If the risk that the cancer will spread is high, chemotherapy may be given to lower the risk.                 Based on these tests, breast cancer is described as one of the following types:         -  Hormone receptor positive (estrogen and/or progesterone receptor positive) or hormone receptor negative (estrogen and/or progesterone receptor negative).    - HER2/neu positive or HER2/neu negative.    -  Triple negative (estrogen receptor, progesterone receptor, and HER2/neu negative).         This information helps the doctor decide which treatments will work best for your cancer.",CancerGov,1,Breast Cancer,
1163,What is the outlook for Breast Cancer ?,"Certain factors affect prognosis (chance of recovery) and treatment options. The prognosis (chance of recovery) and treatment options depend on the following:         - The stage of the cancer (the size of the tumor and whether it is in the breast only or has spread to lymph nodes or other places in the body).    - The type of breast cancer.    - Estrogen receptor and progesterone receptor levels in the tumor tissue.    - Human epidermal growth factor type 2 receptor (HER2/neu) levels in the tumor tissue.    - Whether the tumor tissue is triple negative (cells that do not have estrogen receptors, progesterone receptors, or high levels of HER2/neu).    - How fast the tumor is growing.    - How likely the tumor is to recur (come back).    - A womans age, general health, and menopausal status (whether a woman is still having menstrual periods).    - Whether the cancer has just been diagnosed or has recurred (come back).",CancerGov,1,Breast Cancer,
1164,What are the stages of Breast Cancer ?,"Key Points
                    - After breast cancer has been diagnosed, tests are done to find out if cancer cells have spread within the breast or to other parts of the body.     - There are three ways that cancer spreads in the body.    - Cancer may spread from where it began to other parts of the body.    - The following stages are used for breast cancer:         - Stage 0 (carcinoma in situ)     - Stage I      - Stage II     - Stage IIIA     - Stage IIIB     - Stage IIIC     - Stage IV        - The treatment of breast cancer depends partly on the stage of the disease.
                
                
                    After breast cancer has been diagnosed, tests are done to find out if cancer cells have spread within the breast or to other parts of the body.
                    The process used to find out whether the cancer has spread within the breast or to other parts of the body is called staging. The information gathered from the staging process determines the stage of the disease. It is important to know the stage in order to plan treatment. The results of some of the tests used to diagnose breast cancer are also used to stage the disease. (See the General Information section.)    The following tests and procedures also may be used in the staging process:         -   Sentinel lymph node biopsy : The removal of the sentinel lymph node during surgery. The sentinel lymph node is the first lymph node to receive lymphatic drainage from a tumor. It is the first lymph node the cancer is likely to spread to from the tumor. A radioactive substance and/or blue dye is injected near the tumor. The substance or dye flows through the lymph ducts to the lymph nodes. The first lymph node to receive the substance or dye is removed. A pathologist views the tissue under a microscope to look for cancer cells. If cancer cells are not found, it may not be necessary to remove more lymph nodes.     -   Chest x-ray : An x-ray of the organs and bones inside the chest. An x-ray is a type of energy beam that can go through the body and onto film, making a picture of areas inside the body.    -   CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography.     -   Bone scan : A procedure to check if there are rapidly dividing cells, such as cancer cells, in the bone. A very small amount of radioactive material is injected into a vein and travels through the bloodstream. The radioactive material collects in the bones and is detected by a scanner.    -   PET scan (positron emission tomography scan): A procedure to find malignant tumor cells in the body. A small amount of radioactive glucose (sugar) is injected into a vein. The PET scanner rotates around the body and makes a picture of where glucose is being used in the body. Malignant tumor cells show up brighter in the picture because they are more active and take up more glucose than normal cells do.
                
                
                    There are three ways that cancer spreads in the body.
                    Cancer can spread through tissue, the lymph system, and the blood:         - Tissue. The cancer spreads from where it began by growing into nearby areas.     - Lymph system. The cancer spreads from where it began by getting into the lymph system. The cancer travels through the lymph vessels to other parts of the body.     - Blood. The cancer spreads from where it began by getting into the blood. The cancer travels through the blood vessels to other parts of the body.
                
                
                    Cancer may spread from where it began to other parts of the body.
                    When cancer spreads to another part of the body, it is called metastasis. Cancer cells break away from where they began (the primary tumor) and travel through the lymph system or blood.         - Lymph system. The cancer gets into the lymph system, travels through the lymph vessels, and forms a tumor (metastatic tumor) in another part of the body.    - Blood. The cancer gets into the blood, travels through the blood vessels, and forms a tumor (metastatic tumor) in another part of the body.        The metastatic tumor is the same type of cancer as the primary tumor. For example, if breast cancer spreads to the bone, the cancer cells in the bone are actually breast cancer cells. The disease is metastatic breast cancer, not bone cancer.
                
                
                    The following stages are used for breast cancer:
                    This section describes the stages of breast cancer. The breast cancer stage is based on the results of tests that are done on the tumor and lymph nodes removed during surgery and on other tests.     Stage 0 (carcinoma in situ)    There are 3 types of breast carcinoma in situ:            -  Ductal carcinoma in situ (DCIS) is a noninvasive condition in which abnormal cells are found in the lining of a breast duct. The abnormal cells have not spread outside the duct to other tissues in the breast. In some cases, DCIS may become invasive cancer and spread to other tissues. At this time, there is no way to know which lesions could become invasive.     -  Lobular carcinoma in situ (LCIS) is a condition in which abnormal cells are found in the lobules of the breast. This condition seldom becomes invasive cancer. Information about LCIS is not included in this summary.     -  Paget disease of the nipple is a condition in which abnormal cells are found in the nipple only.               Stage I      In stage I, cancer has formed. Stage I is divided into stages IA and IB.            - In stage IA, the tumor is 2 centimeters or smaller. Cancer has not spread outside the breast.     - In stage IB, small clusters of breast cancer cells (larger than 0.2 millimeter but not larger than 2 millimeters) are found in the lymph nodes and either:                  - no tumor is found in the breast; or       - the tumor is 2 centimeters or smaller.                         Stage II     Stage II is divided into stages IIA and IIB.            - In stage IIA:                  - no tumor is found in the breast or the tumor is 2 centimeters or smaller. Cancer (larger than 2 millimeters) is found in 1 to 3 axillary lymph nodes or in the lymph nodes near the breastbone (found during a sentinel lymph node biopsy); or        - the tumor is larger than 2 centimeters but not larger than 5 centimeters. Cancer has not spread to the lymph nodes.                - In stage IIB, the tumor is:                  - larger than 2 centimeters but not larger than 5 centimeters. Small clusters of breast cancer cells (larger than 0.2 millimeter but not larger than 2 millimeters) are found in the lymph nodes; or        - larger than 2 centimeters but not larger than 5 centimeters. Cancer has spread to 1 to 3 axillary lymph nodes or to the lymph nodes near the breastbone (found during a sentinel lymph node biopsy); or        - larger than 5 centimeters. Cancer has not spread to the lymph nodes.                          Stage IIIA     In stage IIIA:            - no tumor is found in the breast or the tumor may be any size. Cancer is found in 4 to 9 axillary lymph nodes or in the lymph nodes near the breastbone (found during imaging tests or a physical exam); or      - the tumor is larger than 5 centimeters. Small clusters of breast cancer cells (larger than 0.2 millimeter but not larger than 2 millimeters) are found in the lymph nodes; or      - the tumor is larger than 5 centimeters. Cancer has spread to 1 to 3 axillary lymph nodes or to the lymph nodes near the breastbone (found during a sentinel lymph node biopsy).               Stage IIIB     In stage IIIB, the tumor may be any size and cancer has spread to the chest wall and/or to the skin of the breast and caused swelling or an ulcer. Also, cancer may have spread to:             - up to 9 axillary lymph nodes; or     - the lymph nodes near the breastbone.           Cancer that has spread to the skin of the breast may also be inflammatory breast cancer. See the section on Inflammatory Breast Cancer for more information.       Stage IIIC     In stage IIIC, no tumor is found in the breast or the tumor may be any size. Cancer may have spread to the skin of the breast and caused swelling or an ulcer and/or has spread to the chest wall. Also, cancer has spread to:             - 10 or more axillary lymph nodes; or     -  lymph nodes above or below the collarbone; or     - axillary lymph nodes and lymph nodes near the breastbone.           Cancer that has spread to the skin of the breast may also be inflammatory breast cancer. See the section on Inflammatory Breast Cancer for more information.       Stage IV     In stage IV, cancer has spread to other organs of the body, most often the bones, lungs, liver, or brain.
                
                
                    The treatment of breast cancer depends partly on the stage of the disease.
                    For ductal carcinoma in situ (DCIS) treatment options, see Ductal Carcinoma in Situ.   For treatment options for stage I, stage II, stage IIIA, and operable stage IIIC breast cancer, see Early, Localized, or Operable Breast Cancer.   For treatment options for stage IIIB, inoperable stage IIIC, and inflammatory breast cancer, see Locally Advanced or Inflammatory Breast Cancer.   For treatment options for cancer that has recurred near the area where it first formed, see Locoregional Recurrent Breast Cancer.   For treatment options for stage IV breast cancer or breast cancer that has recurred in other parts of the body, see Metastatic Breast Cancer.",CancerGov,1,Breast Cancer,
